"Txn Hash","UnixTimestamp","Date Time (UTC)","Action","Buyer","NFT","Token ID","Type","Quantity","Price","Market"
"0x6cf801725bca92b7c21d405f1f8ecd735a6d2ae0af4d9952fa26d8882ce3847a","1661299213","2022-08-24 00:00:13","Bought","0x0810985144448604556278294673868185006043","0xTHULU Relic of Membership","2714","721","1","0.013 ETH ($21.53)","OpenSea"
"0x2856573cbaa2b2d2116a6a1f8d6f9fff253341b6bfd7e28d6baf59daa4426f02","1661299213","2022-08-24 00:00:13","Bought","0x6808918513717898953955076338850833120699","EveraiDuo","1879","721","1","0.1 ETH ($165.65)","OpenSea"
"0x80ecd6ce0def102b771353127b15d38e320b11a5132e504bf9f09c9d8370df63","1661299213","2022-08-24 00:00:13","Bought","0x2975450000456311206967053720510151999015","Moonpudgy","1234","721","1","4.99 ETH ($8,266.03)","OpenSea"
"0x359ddc995ddc99e06c4434ddb96b19f6f05fff05141f7c31e92da21c68449edf","1661299213","2022-08-24 00:00:13","Bought","0x0308841257834033238008643682723969966656","Doomsday Garden","2985","721","1","0.0399 ETH ($66.10)","OpenSea"
"0x1339a68b2c2a01f9f1b52942ecee93d175c4c273f4bd64575b94da39ea490d2c","1661299219","2022-08-24 00:00:19","Bought","0x8873170134947596402438101580391991310890","CrashTestJoyride","1575","721","1","0.024269 ETH ($40.20)","OpenSea"
"0x5a58bf4e6f1eef898c8eb266d094c12a36148fac6ecf7baac4123223d11b5ff6","1661299226","2022-08-24 00:00:26","Bought","0x9315265558254999224018353888158392729127","Moonpudgy","100","721","1","4.89 ETH ($8,100.38)","OpenSea"
"0x590ba96b50c055f7814c376ce21da1d5104efa96e13f90bbe5a4cedd6e875952","1661299226","2022-08-24 00:00:26","Bought","0x3910827726081381715968297970624791297934","Spirits by SuperNfty","103","1155","1","0.015 ETH ($24.85)","OpenSea"
"0x1fdb3a38e1698d9e1f60062af1cb742a7c0b13de8978209dd489d7f8d0f5602b","1661299226","2022-08-24 00:00:26","Bought","0x1399440625577613317326450217966510183933","Five Head Circle","7088","721","1","0.0011 ETH ($1.82)","OpenSea"
"0xf5668e06295eadc7b9eb934682bab1c92b302a085471eebc21ff0b1c7fd92921","1661299226","2022-08-24 00:00:26","Bought","0x1511461006826565505804722576543566878951","Mutant Punks","837","721","1","0.0007 ETH ($1.16)","OpenSea"
"0xb72692ffeb4b2e49c5c9c5b42abce7d36a24639820ed7456dbe32d059a3fac1e","1661299226","2022-08-24 00:00:26","Bought","0x45a2235b9027eab23ffcf759c893763f0019cbff","PixieJars","1840","721","1","0.00891 WETH ($14.76)","OpenSea"
"0x60d48739a236930411513a589ebe87d53e6ad42a8a2ef22eece3d8cb5565805e","1661299226","2022-08-24 00:00:26","Bought","0x3051202754569178345953551053692328252352","0x125afee79b96da4c3f58b119788085fdadd279e6","0","1155","3","0.024 ETH ($39.76)","OpenSea"
"0xf29eab604500065bf772ab9fb34c839a3b602b2bf59fadda8af316ef01aa6e8d","1661299234","2022-08-24 00:00:34","Bought","0x7e2153f93047311aceb3fd49cc83556dedcaf543","Rarible","631770","1155","1","0.0002 ETH ($0.33)","0x Protocol"
"0x0b610be34a6bc936c67556819e45cb8b1c164375955de59eeb0ad4b49491f454","1661299241","2022-08-24 00:00:41","Bought","0x8254331758959527665174757733104090767084","0xa604060890923ff400e8c6f5290461a83aedacec","42802665137059499118086409560786940817042359283306906424221498986190551908353","1155","1","0.02 ETH ($33.13)","OpenSea"
"0x7041517c505379f8b0dcf2b514a4a342edc7bb1f880c5b367a5d812256b74561","1661299241","2022-08-24 00:00:41","Bought","0x0753342311755919700829711416245592205540","0xa604060890923ff400e8c6f5290461a83aedacec","15859287842670228808678016479596764145923793485753055467120289736342751936513","1155","1","0.015 ETH ($24.85)","OpenSea"
"0x4d32e66bb5bd3183ec4c69a186145fec9cef4d52218532ec270bf2c69b5cee63","1661299241","2022-08-24 00:00:41","Bought","0x3224309654325772788477309296495008239389","LilPudgys","19772","721","1","0.27 ETH ($447.26)","OpenSea"
"0xa2c062c353e124340c9465ecb480736d6d3daaef95c30bc3b00f1bdbaab6edd0","1661299288","2022-08-24 00:01:28","Bought","0x9611684929785724855858067611234624408833","Strxngers","3600","721","1","0.0169 ETH ($28.00)","OpenSea"
"0xdb51d4371ea24c590ca760f845a7da77b56f1245109cfdabd0894d037fd426a1","1661299288","2022-08-24 00:01:28","Bought","0x5216036872417737143091348374538247934461","0xa604060890923ff400e8c6f5290461a83aedacec","95026842838767733832256559554701232505288647309404992868369400679292769140737","1155","1","1 ETH ($1,656.52)","OpenSea"
"0x504489622a46d2b37bcd19896badc88eb5d3612b2d1faef034ea5706019d6383","1661299288","2022-08-24 00:01:28","Bought","0x1022495920432395062952121331582875125472","Satoshi Island Land NFT Deeds","5","1155","1","0.78 ETH ($1,292.09)","OpenSea"
"0xa5988874f775a23092a827e187f186c25bea4ab98d86680c5365df618909074e","1661299288","2022-08-24 00:01:28","Bought","0x1372398432394531295618433243487126142862","Spirits by SuperNfty","103","1155","1","0.018 ETH ($29.82)","OpenSea"
"0x0ea6da5bf13747d2abd38d3e816a779fdee5a05a5cd0dd07c77096dac9799565","1661299288","2022-08-24 00:01:28","Bought","0x1660035288634351044871152176201358550809","Mutant Punks","2893","721","1","0.0005 ETH ($0.83)","OpenSea"
"0xafed61eec1949ec5cafaefa59bce79fed750a7eebc9f159b8b4765593eee2ccb","1661299288","2022-08-24 00:01:28","Bought","0x9976674968574205129728394901803935049673","Lazy Cubs","1459","721","1","0.084 ETH ($139.15)","OpenSea"
"0x38d78bb1cbe1bd81fc314d49cb398b43dde1d15412bcf533e8883d2dd03eaece","1661299288","2022-08-24 00:01:28","Bought","0x4834267486105225357315214149878114021339","0xTHULU Relic of Membership","4237","721","1","0.0126 ETH ($20.87)","OpenSea"
"0xd6abcbca7cb2eff7106c7e9f50bf231bd20a7f4969b0d53241da663b3bcc161a","1661299288","2022-08-24 00:01:28","Bought","0x4651313295457163876476138132439374804819","The Last Flame","421","721","1","0.0000001 ETH ($0.00)","OpenSea"
"0x43431c5b6e0088e470986489f084aecd2f906a9a36f755d7fe1f68b75650211e","1661299288","2022-08-24 00:01:28","Bought","0x0a0441050dccd34000cddeee83a085910cf639c9","Pudgy Pepes","7177","721","1","0.0182 WETH ($30.15)","OpenSea"
"0x6c9306cd7e9491ef51f4d8c7208c0cc203db69ab575d3f33c71a7d5f9ff87699","1661299288","2022-08-24 00:01:28","Bought","0x9680912265626435016768618003530117773073","Pudgy Pepes","209","721","1","0.033 ETH ($54.67)","OpenSea"
"0x7d2302f3e7167f6d8d629e95cdb179274619d57c9571584ac3d34b70f4cc621b","1661299288","2022-08-24 00:01:28","Bought","0x0427934534386074296535163548845651910133","Beyond Earth Land","5807","721","1","0.075 ETH ($124.24)","OpenSea"
"0xebc98d5b0c19799b09134a24604311c841c7551ca81c3871858c79ff9a17968f","1661299288","2022-08-24 00:01:28","Bought","0x0061424322504862587111639356891414989518","Fat Rat Mafia","5543","721","1","0.0035 ETH ($5.80)","OpenSea"
"0x036c9da5ac82647cffa4a950946871c1006ee7b48de235e0296aebaa98bd72a9","1661299288","2022-08-24 00:01:28","Bought","0x0222855603340144393915617765066546440707","Five Head Circle","1402","721","1","0.001 ETH ($1.66)","OpenSea"
"0xf83d52db7433211eada2b31675fb231e6f3c94496f3e8fb2a76e8153dbcc98dd","1661299288","2022-08-24 00:01:28","Bought","0x4382917745850557601080004397443533709764","NineTales Phase 1","1083","721","1","0.0389 ETH ($64.44)","OpenSea"
"0x9018e52409b67fd6593ed961dafd46e419eb47d9791d28b216d32331e7a331b4","1661299288","2022-08-24 00:01:28","Bought","0x3826364710685131186159959579629064812019","My Final Form","352","721","1","0.035 ETH ($57.98)","OpenSea"
"0x518bfa93cb7de0296ba63a312082e2437652edf6fd3dad104241a01b1db6bbfe","1661299288","2022-08-24 00:01:28","Bought","0x5825363314054153566476990335701303365053","META RABBITS OFFICIAL V2","2496","721","1","0.0298 ETH ($49.36)","OpenSea"
"0xfcd48f6379af64614cf4e8cd26d26bfaef586a5022e8af871310981eef661b98","1661299288","2022-08-24 00:01:28","Bought","0x1707385181876425491826850658083483547772","OpenSea Shared Storefront","107209789218010874351534969844587373703440116791315277980164698053596179070977","1155","1","0.69 ETH ($1,143.00)","OpenSea"
"0x4dd0f6b484e60120ed227e9a462211f624473bb1afd6c0f5dbb199ecea97d2c2","1661299288","2022-08-24 00:01:28","Bought","0x3718793810726087433927836412479361040857","Moonpudgy","11","721","1","4.328 ETH ($7,169.42)","OpenSea"
"0x0cfb7130fdd8308155e10025ab77ae92c20595021549d2c5cfde35ce4ef84865","1661299288","2022-08-24 00:01:28","Bought","0x5497063822759505821385885732990435694500","PREMIUM PASS","445","721","1","0.1038 ETH ($171.95)","OpenSea"
"0x75ba1f6c571de018abf5c997c930966667bca8b50091240dae43b3b3335fddd7","1661299288","2022-08-24 00:01:28","Bought","0x6183594477466199922926526232914779161535","PudgyMutants","1571","721","1","0.0015 ETH ($2.48)","OpenSea"
"0xc0c5d55cb344fc2a654bcdd9c0e5114db0334b47da00bbfa7ab907499de56fee","1661299288","2022-08-24 00:01:28","Bought","0x6528876933027212806380014376345352272061","DemigodsOfRock","362","721","1","0.069 ETH ($114.30)","OpenSea"
"0x8f89159230ac2e62c26a3e2861379d0eb6b09c8e64abdafabd94ac6e1bec6a3f","1661299288","2022-08-24 00:01:28","Bought","0x9766286347357469268955910883676266785397","GunzoZuYukiKoyano","356","721","1","0.0075 ETH ($12.42)","OpenSea"
"0x8cfecc2fb9b93fffec1b62a97c93c05a786a3b5e7897efab376670129f3fa90a","1661299288","2022-08-24 00:01:28","Bought","0x7928548604121269933875816355863281710626","Fundaes","1340","721","1","0.055 ETH ($91.11)","OpenSea"
"0xdfc4375c4a50f80d61fa8942caaaa34a1ae78ca6de50f5e4a1a9ffe6e542cfd6","1661299288","2022-08-24 00:01:28","Bought","0x5659184322487154213906873762415637379772","ShinseiGalverse","1154","721","1","0.085 ETH ($140.80)","OpenSea"
"0x28ad179cde50437bbcde8e0c4ad0bcd8b0b782a33b7c90e15ecb0646efd8e11c","1661299288","2022-08-24 00:01:28","Bought","0x9101463066059561553541423215729032230194","Fat Rat Mafia","4434","721","1","0.0035 ETH ($5.80)","OpenSea"
"0xacab2cb55515051d36f1bbe3d6baae64f5e51aef15525ce920be7a02c4d1469f","1661299288","2022-08-24 00:01:28","Bought","0x2084598813075363170192588004689596362777","CoolmansUniverse","1260","721","1","0.1425 ETH ($236.05)","OpenSea"
"0x59b86aa06585bfd223a9eb3d2e319402dadb4269591e79224872abbd6f74b5e3","1661299288","2022-08-24 00:01:28","Bought","0x6953931548504644386360137190609606395929","BagHolders","2146","721","1","0.0043 ETH ($7.12)","OpenSea"
"0xa718ac1047b0433c4945cb5abe331271e1feb7ca27261ee6671f0cc1c8524048","1661299290","2022-08-24 00:01:30","Bought","0x0323164178801023168772112845482034268878","Fat Rat Mafia","3300","721","1","0.004 ETH ($6.63)","OpenSea"
"0x901e7507d68c1673ac92232bc2281a673001f93bcbd649a3cdc27d1a9c929fa9","1661299290","2022-08-24 00:01:30","Bought","0x9475209078388488026439345129210743687886","Fat Rat Mafia","5535","721","1","0.0035 ETH ($5.80)","OpenSea"
"0xf38beab128f37d23f274028d4d1e0a096e9f14a1b0c4e1527e890724aeafcad0","1661299290","2022-08-24 00:01:30","Bought","0x4629854302336949625333139593646310230208","V1 Phunks","7015","721","1","0.04 ETH ($66.26)","OpenSea"
"0x584cef411cd0ae0f73733c2e1086253dd388e8cc4036d3b0b0e98ea0206ea309","1661299304","2022-08-24 00:01:44","Bought","0x4330445203353113023454832676330015166501","0xTHULU Relic of Membership","2433","721","1","0.0127 ETH ($21.04)","OpenSea"
"0xbfc18d7c756804deafd3777c0b225bfb88bc99e13cf8080764c8b754b9182957","1661299304","2022-08-24 00:01:44","Bought","0x8199798212697093230628493261650852994796","0xa604060890923ff400e8c6f5290461a83aedacec","42802665137059499118086409560786940817042359283306906424221499031270528647169","1155","1","0.02 ETH ($33.13)","OpenSea"
"0xdd916ee17e3af2e329074e2bcda6ea0ba508dfafdc060e00bfb9e71dd856f5e4","1661299312","2022-08-24 00:01:52","Bought","0x5476604015598697770220855440979604291698","Spirits by SuperNfty","103","1155","1","0.0188 ETH ($31.14)","OpenSea"
"0x482b234843bc41c23ae0da0bb62f0c0db4ef049f33f6ea4cf0d1a69919e3657c","1661299312","2022-08-24 00:01:52","Bought","0x0072209141578594722280628773283595777809","Pudgy Pepes","8514","721","1","0.01989999 ETH ($32.96)","OpenSea"
"0xb554cd1e9e22bca4bb67ec01af03a2913ee867be23a13cd60a9d6ca2b0147582","1661299312","2022-08-24 00:01:52","Bought","0x5b0a63869c2b6c855d2a36f03d87f1a67c7a636c","Kaiju Legends","1133","721","1","0.0162 WETH ($26.84)","OpenSea"
"0x5dd739357bba90e7573c184a8f8b00c1eb5dcdfc22fba6cfe65f00763b8816a3","1661299312","2022-08-24 00:01:52","Bought","0x9192384644403894397757748977184192810646","SneakerHeads","4157","721","1","0.1389 ETH ($230.09)","OpenSea"
"0x2fc35008de34ccee89759c305d47f990c6270055caf175dfe05d967bb322471e","1661299312","2022-08-24 00:01:52","Bought","0x4475965042003116566590435804362984660342","WereTheOnlyOnesLeft","2071","721","1","0.0088 ETH ($14.58)","OpenSea"
"0xcbe2fb5b96f2384596959542e675df52cd7dc2d1a463b0658c5b10290dd7d9ac","1661299312","2022-08-24 00:01:52","Bought","0x7790e8428f9f68fa75808454ae6b658df25d1bd5","0xTHULU Relic of Membership","827","721","1","0.0119 ETH ($19.71)","X2Y2"
"0xd023238aeceffb5af897b273b2f9cb45425487510f8f58274ca7adbbbfd29f50","1661299329","2022-08-24 00:02:09","Bought","0x3191760180474639750391353841297941224198","BONEHEADS","9471","721","1","0.018 ETH ($29.82)","OpenSea"
"0x6102629d65711d2b3ec572875109fcc47f7e435a2e3064b25985b93825443722","1661299329","2022-08-24 00:02:09","Bought","0x0683342807923583267017358132045529905024","ToyMories","2515","721","1","0.0148 ETH ($24.52)","OpenSea"
"0xd1a9fabfb38b8fc3af7bb52ade6fac89ee581937e8d352bcbc865eec7544e0ab","1661299329","2022-08-24 00:02:09","Bought","0x0843771326338992833419057583727736763628","DigiDaigaku","1664","721","1","2.98 ETH ($4,936.43)","OpenSea"
"0x5ea532405573afbca44212578db430dc8e141b5d19f09e8991bdfe4088eab773","1661299329","2022-08-24 00:02:09","Bought","0x9186833760076120670849478190895931843152","World Of Women Galaxy","20632","721","1","0.41 ETH ($679.17)","OpenSea"
"0x3b2152c4b39e2a433ee18cd642a29b1381bb04238733dc731d5738f5a2c61e4e","1661299329","2022-08-24 00:02:09","Bought","0x8331367148297657770477958897611139761218","CryptoonGoonz","3004","721","1","0.19 ETH ($314.74)","OpenSea"
"0xc2b8c2b6e9d90736d7d3bc0509253206a9fc8dd629dc280439ced6cb4cb023fb","1661299329","2022-08-24 00:02:09","Bought","0x5720257225091271532472155387787858196039","0xdfbe0317ce520b4958a2f13dbaa9da8cecb72fb5","17","1155","1","0.01 ETH ($16.57)","OpenSea"
"0x7c6f4984fca55c4557496b579967be1cff1d399f2e0dbed7475850300822f45b","1661299341","2022-08-24 00:02:21","Bought","0x382a50af3f9703292b8024e0d348c75eee570514","Pudgy Pepes","7169","721","1","0.018 WETH ($29.82)","OpenSea"
"0x09b0a5561bf8dfcb1e9e1a14397b0121d1bc42d41d5a8ac93630f462ddb2509a","1661299341","2022-08-24 00:02:21","Bought","0x3326337513456396798414773006052251771347","Finiliar","9356","721","1","0.28 ETH ($463.83)","OpenSea"
"0x62b06bee90a986c71160f92a1c9715ee9bd570820ef738ad4443d0256f7cb384","1661299341","2022-08-24 00:02:21","Bought","0x1134392921135056213365189310592863091626","The British","3337","721","1","0.0006 ETH ($0.99)","OpenSea"
"0x8f7280fa995f41ec47d8e12feb28bb079c4ed1c677d7f5ed02040b6ba413eca0","1661299343","2022-08-24 00:02:23","Bought","0x1338190873466223794441912999839666432805","Genuine Undead","8590","721","1","0.0498 ETH ($82.49)","OpenSea"
"0x59585fdcd0fb6db6de4780c62b1415f39cd94c4ec0b7c52641725f2471f6a7af","1661299343","2022-08-24 00:02:23","Bought","0x7e2153f93047311aceb3fd49cc83556dedcaf543","Rarible","636069","1155","1","0.0001 ETH ($0.17)","0x Protocol"
"0x50208f9aa3d7575e0c8770a46ab85a7bd3f7b49d26ceb8a5b0ca67a27f13cd69","1661299343","2022-08-24 00:02:23","Bought","0x4385653003934931448348244717567367801347","Five Head Circle","9764","721","1","0.001 ETH ($1.66)","OpenSea"
"0xf31a54e13b11ec7d129e31044e41e9f30347522b1860f2ad225e48958c3952a4","1661299343","2022-08-24 00:02:23","Bought","0x5729961941410099569942968924191164158860","Dustland Goes Ape","5727","721","1","0.038 ETH ($62.95)","OpenSea"
"0xbdb9e95ea3383170c88bce8ca915b6a4f70f6685a8f691842c00fc210c37f18d","1661299343","2022-08-24 00:02:23","Bought","0x4286541493969361270745851789513267786334","Lazy Mutant Ape Yacht Club","1109","721","1","0.029 ETH ($48.04)","OpenSea"
"0xf1d1456df06e92aad375555cf869950569271824dfffaf375d32967c7fabfa58","1661299343","2022-08-24 00:02:23","Bought","0xa010d2b33ccf1ec399f4dc5c95447d7004d69846","Pudgy Pepes","5618","721","1","0.018 WETH ($29.82)","OpenSea"
"0x50fda6a79e44c653999ce0ee6d42616e06985c78134b8c54db4703f9d63502fc","1661299343","2022-08-24 00:02:23","Bought","0x2740827705883180128438012448527270369511","Lil Rare Apepe YC","806","721","1","0.0026 ETH ($4.31)","OpenSea"
"0xfdef4c5b6d8114f6759bd494b68f939561c90d6a0a94699ef74f79c5f818824b","1661299343","2022-08-24 00:02:23","Bought","0x0588181141535295058885376162727251232770","WagmiUnited","1","1155","1","0.1666 ETH ($275.98)","OpenSea"
"0xa730ce740bca64cb7b643db9f1741fdaf8522bc704daecae20a21a0692361a99","1661299343","2022-08-24 00:02:23","Bought","0x9db27f661d860545713becb46bb7be5369726799","Ethereum Name Service","106439227700731136918058109012109405209701237443983607306164653038626065570498","721","1","0.06 WETH ($99.39)","OpenSea"
"0x976ec069dc7d78753a76b9339f6fb49d23dc2516e60b0932b66eb17daf4afa7d","1661299343","2022-08-24 00:02:23","Bought","0x1210318531415142289884353333381360413632","BoredPenguinYC","1172","721","1","0.002 ETH ($3.31)","OpenSea"
"0xfa2edbe068905e1744613692e46da9663faebf39e8f0778d85a18f7f62044732","1661299343","2022-08-24 00:02:23","Bought","0x2319903783657897004345308792003113194240","DeepBlack","7293","721","1","0.25 ETH ($414.13)","OpenSea"
"0x6fd43c7b96ac77fee4eccc791fe079a01842ad529f38bff04468051a8276a569","1661299343","2022-08-24 00:02:23","Bought","0x9857937339618569158736180869588547204402","Fat Rat Mafia","3803","721","1","0.0035 ETH ($5.80)","OpenSea"
"0x0e2ba314076884b632bb579bae02b0b67a42689cf4ffcf6addb23286b72c6c41","1661299343","2022-08-24 00:02:23","Bought","0x9509951574348684585712462402874716554518","VaynerSports Pass","5862","721","1","0.23999 ETH ($397.55)","OpenSea"
"0xe4b0f2c042d139a488f64674d8a53117a60a121c3d54782f00d551c2b2e5bae4","1661299343","2022-08-24 00:02:23","Bought","0x4644552574568206397932980169461621743149","Finiliar","4787","721","1","0.467 ETH ($773.59)","OpenSea"
"0xb26ff714496fe43529a007837c9c9e4d14ffdcfe0bb157390705cc06c476d6e7","1661299343","2022-08-24 00:02:23","Bought","0x1972381929323133334063965423192527884195","Fertile Lands","2027","721","1","0.00039 ETH ($0.65)","OpenSea"
"0x57addf5c47b0cb5b9d9b98f4aa84f3f1ebfd6bcf18b2242c09cb2c513486425b","1661299343","2022-08-24 00:02:23","Bought","0x6097603038221215081836676417137812179110","We All Survived Death","9119","721","1","0.06 ETH ($99.39)","OpenSea"
"0xdba796e1fd6f7cf945c3fc27743d4c817939c0a17cf64d30a751b86bd09a228f","1661299343","2022-08-24 00:02:23","Bought","0x0414642691942433611990066301318098933991","Mutant Punks","2363","721","1","0.0005 ETH ($0.83)","OpenSea"
"0x30ef53c85c2944a1cf915a051f04dcb9ce6ffa3bc454b3a015af9610fb157c7e","1661299343","2022-08-24 00:02:23","Bought","0x8399434983710933658657000753874661512365","10KTF Stockroom","1","1155","1","0.76 ETH ($1,258.96)","OpenSea"
"0xab39eb1c8476f14785ef4ae8068f97119a43750527f79e51e676534d57c0e688","1661299343","2022-08-24 00:02:23","Bought","0x7331908801302541227458059149881330981095","Proof of Narnian NFT","886","721","1","0.26 ETH ($430.70)","OpenSea"
"0x8e1d24c902c9831ad618b4ac7fd9cd68c356322fdc48239cad04b5aa8fbef64c","1661299343","2022-08-24 00:02:23","Bought","0x2789005576628269091609021987514749994720","Satoshi Island Land NFT Deeds","5","1155","1","0.789 ETH ($1,306.99)","OpenSea"
"0x96e762c26069071e6a17be5b13ca4b5cd00a700c1223c30a14599f0c9a8ca089","1661299343","2022-08-24 00:02:23","Bought","0x3743558998308747231757446563889702625556","FrenchBeef","464","721","1","0.0009 ETH ($1.49)","OpenSea"
"0x4213af4d343b7d72f0f84167f6e5a3a44b7c4cff55e76ccfafcb686339d0a342","1661299371","2022-08-24 00:02:51","Bought","0x4720629131597302594029885895955216937689","Sappy Seals","4624","721","1","0.65 ETH ($1,076.74)","OpenSea"
"0x293251edf2006d72b55802f8953ec57a2989b7ea2d33804cee3f00a36b6d46c2","1661299371","2022-08-24 00:02:51","Bought","0x6471484533646454660786010949925924531078","Verb","3890","721","1","0.0378 ETH ($62.62)","OpenSea"
"0xda14c1adb8becab5700589277dd36d088c161ef6001c2966524d164dd9db5d73","1661299371","2022-08-24 00:02:51","Bought","0x3995129742087949018435700785521709663001","Wealthy Ape Social Club","668","721","1","0.0139 ETH ($23.03)","OpenSea"
"0xd41b7979951e86bc824e0bf2ea4bf8c586f6dffe5a60f0f9b09cb9cbdbaf2d11","1661299371","2022-08-24 00:02:51","Bought","0x4598937560729572236012467629796480936741","Genuine Undead","8826","721","1","0.049 ETH ($81.17)","OpenSea"
"0xda2d319878b675a59266a9d3754f4bf4226953810555d4be937fa89cf5f4ef8f","1661299383","2022-08-24 00:03:03","Bought","0x8551383951616641429869815841169840940311","LILVERSE","3514","721","1","0.0139 ETH ($23.03)","OpenSea"
"0xdeef1ec03d6c7b505d988a481eeadfff4f37de2542889667a685021093825264","1661299383","2022-08-24 00:03:03","Bought","0x0192023071938771436420307233852360761484","Azuki","1248","721","1","12.89 ETH ($21,352.54)","OpenSea"
"0x34de85a2cc2a255c8f13f5a683a9654c973ca1561c3bddbaaf910182739669ea","1661299383","2022-08-24 00:03:03","Bought","0x6737926655839803797831496818831855996085","CF Mintstone","3440","721","1","0.1 ETH ($165.65)","OpenSea"
