"Txn Hash","UnixTimestamp","Date Time (UTC)","Action","Buyer","NFT","Token ID","Type","Quantity","Price","Market"
"0x13ab267bc8bb98dd4a5e05337d339e3e7dfff068fc2fd76764cab4c0dca6742e","1657238403","2022-07-08 00:00:03","Bought","0x4760368664268332194780846662561546369166","Aiko Virtual","4348","721","1","0.061 ETH ($74.05)","OpenSea"
"0xefaef30966cc88d725889fdf891a5ac40f531cbd6bf5ea6d3cb3281cb9857f8d","1657238403","2022-07-08 00:00:03","Bought","0x3148363631321107447369634457039107636368","WAGMI ARMY","5652","721","1","0.08 ETH ($97.12)","OpenSea"
"0x22c22a717b89eaf21107352d7f41573401142126c78a62795fd746aa3a80ed72","1657238403","2022-07-08 00:00:03","Bought","0x2790702830877731735014886644058525974728","0x05b77ef77b12f8f84893841efe15e887ebc3ae95","1","1155","1","0.009 ETH ($10.93)","OpenSea"
"0xd4deac257891bfa4a19904eeed0044268e4245eaee20efed62327fb6a3ad4dcd","1657238403","2022-07-08 00:00:03","Bought","0xa7d4b90aacbc39055a66c2c251db8a63bee2a047","WAGMI ARMY","5595","721","1","0.084 ETH ($101.98)","X2Y2"
"0x02d79c0cc6230a723af518d4cea10e8841f8024b766fe68968dc09318e6ece2f","1657238403","2022-07-08 00:00:03","Bought","0x9294228702639860459124105341418998420115","Timbears","2350","721","1","0.011 ETH ($13.35)","OpenSea"
"0x02d79c0cc6230a723af518d4cea10e8841f8024b766fe68968dc09318e6ece2f","1657238403","2022-07-08 00:00:03","Bought","0x7199468265349502863871600017018695626093","Timbears","1381","721","1","0.011 ETH ($13.35)","OpenSea"
"0x5d47c8928b6c69e381d3580327b58e0cc02c8e01327561dd9b77a41098e7a495","1657238403","2022-07-08 00:00:03","Bought","0x6291589062631294183885812752050168511304","mvtxnts","817","721","1","0.004 ETH ($4.86)","OpenSea"
"0x3a43a990ebbca568bfb77502e80631bf40801336c24924ba812e4a1ff4c9d030","1657238403","2022-07-08 00:00:03","Bought","0x6390194525547623825715219686305810726016","Genesis Box","7458","721","1","0.44 ETH ($534.16)","OpenSea"
"0xc29faa181f7fe3e3fd22106eb80c8b7b42eef207556881db341ac58940de56e2","1657238403","2022-07-08 00:00:03","Bought","0x3803360545965854379434233087594475391293","CopeBears","6642","721","1","0.03 ETH ($36.42)","OpenSea"
"0xb712c4cff50253c5547051032ef7e3f94809cbab84d833d46ad36e67f2c14a5f","1657238407","2022-07-08 00:00:07","Bought","0x6908048477435706349641974283524690822000","WAGMI ARMY","5305","721","1","0.08 ETH ($97.12)","OpenSea"
"0xe0f374c6ccf796a69990591da72c1e081394f6afeccec844929593ecbe54f8ff","1657238407","2022-07-08 00:00:07","Bought","0x4707174822577670906060695528029758536848","WAGMI ARMY","4605","721","1","0.0879 ETH ($106.71)","OpenSea"
"0x7aa6ef933bd834e54a534a71f4426d86bb2d1f7c55b83d71b8b107bb582a4840","1657238407","2022-07-08 00:00:07","Bought","0x7050287292114720453348840335786790730896","WAGMI ARMY","9773","721","1","0.088 ETH ($106.83)","OpenSea"
"0x21adc342edc376acb45e10874b632865ef8317c634f5a96959a6df9199e45555","1657238407","2022-07-08 00:00:07","Bought","0x0991651158234754164586900109902872672773","theabominablebunch.io","676","721","1","0.111 ETH ($134.75)","OpenSea"
