"Txn Hash","UnixTimestamp","Date Time (UTC)","Action","Buyer","NFT","Token ID","Type","Quantity","Price","Market"
"0xbc02a208a39500aaf932c3fc2a01bb01bc00b192582eb345fa4e7b757ce18a40","1664150411","2022-09-26 00:00:11","Bought","0x2144698654034094466619147598172980413739","Stellar Ape Yacht Club","525","721","1","0.012 ETH ($16.04)","OpenSea"
"0xf595109c9c4a04174fe45d57079d39fe9c70bb6985e86b8d586fe6be1e138962","1664150411","2022-09-26 00:00:11","Bought","0x9434171446169482177422083962441910879531","Stellar Ape Yacht Club","535","721","1","0.012 ETH ($16.04)","OpenSea"
"0xf595109c9c4a04174fe45d57079d39fe9c70bb6985e86b8d586fe6be1e138962","1664150411","2022-09-26 00:00:11","Bought","0x4483562452895731688490653583274632971563","Stellar Ape Yacht Club","536","721","1","0.012 ETH ($16.04)","OpenSea"
"0x2e85b882343f7fe99ee377cd4b71303c21f1ca4bd7c9ba0fee24ad4392b5f34c","1664150411","2022-09-26 00:00:11","Bought","0x9518799690686586948338343774285501551231","Exolienz By BonishBil","652","721","1","0.699 ETH ($934.32)","OpenSea"
"0xc0d5ed86970b0840c4d1843402966c1efdebf103b0509e548222d6325cd70eac","1664150411","2022-09-26 00:00:11","Bought","0x1449167296321097775522393379260195944370","y00ts Yacht Club","2936","721","1","0.28 ETH ($374.26)","OpenSea"
"0xc1eaedf20b0798b8985a36ef179bb5c152cc7971e8a4faed3da686c8a16945fc","1664150411","2022-09-26 00:00:11","Bought","0x0337387450911180094364378674019451020006","Porkers","9369","721","1","0.071 ETH ($94.90)","OpenSea"
"0x64d3bb24d80f87f6bc5b049477d45d41c7bb30e0ad90f81c63d765c2eaf93342","1664150423","2022-09-26 00:00:23","Bought","0x9686230552198441449833929924977741169963","Stellar Ape Yacht Club","78","721","1","0.015 ETH ($20.05)","OpenSea"
"0x3b5ef58bacc778c7fe87ae433b81df5f2bf002c435d2f7d792b98ed4c6bdf3c0","1664150423","2022-09-26 00:00:23","Bought","0x4212977560696512656022882698687442215421","Shujinko","235","721","1","0.015 ETH ($20.05)","OpenSea"
"0xb2afe960410936b5426c89b281c0406b5d8b91a293620c485fd8f63052ad9ad0","1664150423","2022-09-26 00:00:23","Bought","0x0195520896729396954889913983980408895289","Eternals","1328","721","1","0.0031 ETH ($4.14)","OpenSea"
"0x8825fd705cbd98062ccae2ef0c3285ce3edd77aa06e8b80a17b58c14fcf78e79","1664150423","2022-09-26 00:00:23","Bought","0x3818514887110150390288742409434260194523","Kryptoria: Land","3827","721","1","0.055 ETH ($73.52)","OpenSea"
