"Txn Hash","UnixTimestamp","Date Time (UTC)","Action","Buyer","NFT","Token ID","Type","Quantity","Price","Market"
"0x8ffd14c4bdcc6fe7a3c97698395eba7a3c7eb58352d50f2ab8305348eb2dd3b1","1659830403","2022-08-07 00:00:03","Bought","0x2812123386480750488006698083565805851282","Dreamers","7457","721","1","0.022 ETH ($37.41)","OpenSea"
"0x844cd94dd7d704e3ff6499ca3348e49c23a487d421f3dcf4b00bdb04d46b1d84","1659830403","2022-08-07 00:00:03","Bought","0x8916459617805936695763554413784377919673","Project Dudes","2445","721","1","0.01 ETH ($17.01)","OpenSea"
"0x844cd94dd7d704e3ff6499ca3348e49c23a487d421f3dcf4b00bdb04d46b1d84","1659830403","2022-08-07 00:00:03","Bought","0x8916459617805936695763554413784377919673","Project Dudes","2446","721","1","0.01 ETH ($17.01)","OpenSea"
"0x844cd94dd7d704e3ff6499ca3348e49c23a487d421f3dcf4b00bdb04d46b1d84","1659830403","2022-08-07 00:00:03","Bought","0x8916459617805936695763554413784377919673","Project Dudes","1759","721","1","0.01 ETH ($17.01)","OpenSea"
"0x844cd94dd7d704e3ff6499ca3348e49c23a487d421f3dcf4b00bdb04d46b1d84","1659830403","2022-08-07 00:00:03","Bought","0x8916459617805936695763554413784377919673","Project Dudes","1760","721","1","0.01 ETH ($17.01)","OpenSea"
"0x2a8c7c7f84f9da06861356e1c42ef9edc7075d89f3aab9cfc440245a6cc6d8ef","1659830403","2022-08-07 00:00:03","Bought","0x8869947520207400957722880615524677313333","Rug Birds","9133","721","1","0.008 ETH ($13.60)","OpenSea"
"0x6464445c36f165c0a909e404c98685204b3b9ac188fdf866c928de242ca7cf65","1659830403","2022-08-07 00:00:03","Bought","0x6054427118758736340019807763379192193845","Rug Birds","330","721","1","0.004 ETH ($6.80)","OpenSea"
"0x907d47c286a2ec604335992095acf8ab88d73ea1efd07a2837849a95d95aa34d","1659830403","2022-08-07 00:00:03","Bought","0x5688718530789303170804829657096722952510","Webaverse Genesis Pass","8053","721","1","0.51 ETH ($867.28)","OpenSea"
"0x3ee7f6abb41efb933257ba6b9c295c51e001d76b6206b6afc1d3344aa13fb17c","1659830403","2022-08-07 00:00:03","Bought","0x3005610264122497218738018370450563931339","Rug Birds","4454","721","1","0.0039 ETH ($6.63)","OpenSea"
"0x33424a1ac4866a8ccb3a4ad36ce4e392381debb840e3e6bafff9ca6d520c738e","1659830403","2022-08-07 00:00:03","Bought","0x3763528378559691004381353400701964779685","Bossy Baddies","2066","721","1","0.00045 ETH ($0.77)","OpenSea"
"0x33424a1ac4866a8ccb3a4ad36ce4e392381debb840e3e6bafff9ca6d520c738e","1659830403","2022-08-07 00:00:03","Bought","0x6162330889151803862810993457300925055141","Bossy Baddies","426","721","1","0.00039 ETH ($0.66)","OpenSea"
"0x33424a1ac4866a8ccb3a4ad36ce4e392381debb840e3e6bafff9ca6d520c738e","1659830403","2022-08-07 00:00:03","Bought","0x1147238961476585246455198908593480925019","Bossy Baddies","90","721","1","0.0004 ETH ($0.68)","OpenSea"
"0x33424a1ac4866a8ccb3a4ad36ce4e392381debb840e3e6bafff9ca6d520c738e","1659830403","2022-08-07 00:00:03","Bought","0x4802176533562388780051184419306956914853","Bossy Baddies","89","721","1","0.0004 ETH ($0.68)","OpenSea"
"0x652311626f26523e066737c557f545cd9431b5682bb3583b7016db47f7baa280","1659830413","2022-08-07 00:00:13","Bought","0x575086df71f3bcfceda1929fac3dfc1b709e8cbe","MV3NFT","2885","721","1","0.348 ETH ($591.79)","X2Y2"
"0x136086461e0a4bf6785942c91f90dbb22758af398188911f79acf626e82f49c1","1659830413","2022-08-07 00:00:13","Bought","0x8633904571943349694084593055941485641635","0xa604060890923ff400e8c6f5290461a83aedacec","87198930750286842836902562062466327909054195361095182156017578080476457861121","1155","1","0.01 ETH ($17.01)","OpenSea"
"0x2ed1237f7c77ebd9cb7de76e268df8792312c3f230fda34928deb2ad5dcb47f3","1659830413","2022-08-07 00:00:13","Bought","0x6522116670279375882335394415243085873568","0xa604060890923ff400e8c6f5290461a83aedacec","23420439181656904750453411173322779348576477654756384702924996139492552212505","1155","1","0.015 ETH ($25.51)","OpenSea"
