"Txn Hash","UnixTimestamp","Date Time (UTC)","Action","Buyer","NFT","Token ID","Type","Quantity","Price","Market"
"0xdca8688dea9ea8f6583eab2bbb813a3ac22e23cde4c2b8fe71154654484a3d33","1658534414","2022-07-23 00:00:14","Bought","0x5677999484367923264491583880507875172504","WAGMI ARMY","5380","721","1","0.04 ETH ($61.97)","OpenSea"
"0x14b1db489b46c226f6eb25561c0ecc979139a948d2140a8d6c5b8dd75379a7ed","1658534417","2022-07-23 00:00:17","Bought","0x4444294651180885437637181955562215438199","Kiko Bakes","7063","721","1","0.009 ETH ($13.94)","OpenSea"
"0xb1eecff7459a0572d54d6b16a506c0a00d04ff34ec86390355f1de19c2a46da6","1658534420","2022-07-23 00:00:20","Bought","0x4158002325889168272792803633593488944695","War Riders Gun","7796002","721","1","0.015 ETH ($23.24)","OpenSea"
"0xa6472388e58556856fb99884fed6a5f2f111a48cac743bfa49e48d096dcc5365","1658534420","2022-07-23 00:00:20","Bought","0x2609402500569658809642415785753403716978","ForgedToken","55","721","1","0.125 ETH ($193.65)","OpenSea"
"0x8b9f0436895ab897068a3a635294794ec28fcd166a38aa90b882827de12690a6","1658534420","2022-07-23 00:00:20","Bought","0x4907326729211255738316451449727043142573","Cryptovoxels Parcel","5564","721","1","0.6936 ETH ($1,074.52)","OpenSea"
"0xb7e255ecd65c8a7b8443e9fe83b8888a1407068f7dfb4b2d53c164a32cd3f098","1658534420","2022-07-23 00:00:20","Bought","0x0222720419030571563278505361692505075533","Pepe Ape Yacht Club","2655","721","1","0.013 ETH ($20.14)","OpenSea"
"0xe3741d08f1a91f2fcfb1c22f3f108bf9c1a9fb7eadcd95fee5d1d97a241e1be5","1658534420","2022-07-23 00:00:20","Bought","0x1706216914958965566185382500324966063146","Potatoz","5371","721","1","0.91 ETH ($1,409.76)","OpenSea"
"0xe0cdc464ddf22ad7e8570e36b280089990606bcf50c4741a5a6d260b2be42b51","1658534420","2022-07-23 00:00:20","Bought","0x0485027454691345986848466175640790411738","Fuzzle Space Cases","0","1155","1","0.0053 ETH ($8.21)","OpenSea"
"0xc0ad28e131e56223ba9429485d4f245bed98130aff1b1babd1ded8257186b07e","1658534420","2022-07-23 00:00:20","Bought","0x3541203784611076453534766653357811114966","Potatoz","4856","721","1","0.79 ETH ($1,223.86)","OpenSea"
"0x0793547e47d024086ee72ba854c2c3c35d4998ce04c741ca8f21af5ad4c338f5","1658534420","2022-07-23 00:00:20","Bought","0x0890069293425971726758788595795945149986","Moon Vamps","28","721","1","0.02 ETH ($30.98)","OpenSea"
"0x4bccc5af50e869ab8eb1165d6f091fef1b42f33d473bb76a546670f797a699f8","1658534431","2022-07-23 00:00:31","Bought","0x2036130294123265339576967312764426151801","Monsters Inside NFT","6174","721","1","0.0053 ETH ($8.21)","OpenSea"
"0x1d0a120a3d40e5db49ae350583fff1ae92813835431d7dbd306c9a20f01e0bac","1658534431","2022-07-23 00:00:31","Bought","0x7899185748874294546500480840590405096998","Fuzzle Space Cases","2","1155","1","0.0077 ETH ($11.93)","OpenSea"
"0x7a3cea8ef0f4eaf5dde8bf9bbe684943a0b29635c32c6daa5b63fbdc82020886","1658534431","2022-07-23 00:00:31","Bought","0x3698989613187789411526374852071590303879","Monsters Inside NFT","253","721","1","0.03 ETH ($46.48)","OpenSea"
"0x7a3cea8ef0f4eaf5dde8bf9bbe684943a0b29635c32c6daa5b63fbdc82020886","1658534431","2022-07-23 00:00:31","Bought","0x3698989613187789411526374852071590303879","Monsters Inside NFT","252","721","1","0.03 ETH ($46.48)","OpenSea"
"0x7a3cea8ef0f4eaf5dde8bf9bbe684943a0b29635c32c6daa5b63fbdc82020886","1658534431","2022-07-23 00:00:31","Bought","0x3698989613187789411526374852071590303879","Monsters Inside NFT","251","721","1","0.03 ETH ($46.48)","OpenSea"
"0x7a3cea8ef0f4eaf5dde8bf9bbe684943a0b29635c32c6daa5b63fbdc82020886","1658534431","2022-07-23 00:00:31","Bought","0x3698989613187789411526374852071590303879","Monsters Inside NFT","250","721","1","0.03 ETH ($46.48)","OpenSea"
"0x39e365755b7f53c7380169dedc62b4a640e475242aa497718b23ea4880695de9","1658534431","2022-07-23 00:00:31","Bought","0x4628264960538751280280455602272572802090","Itsuki","4544","721","1","0.029 ETH ($44.93)","OpenSea"
