"Txn Hash","UnixTimestamp","Date Time (UTC)","Action","Buyer","NFT","Token ID","Type","Quantity","Price","Market"
"0x7679f9fd79f640280912d881ced04a3d67916644268f4eb84a1d993f667a5ff2","1664236811","2022-09-27 00:00:11","Bought","0x62d507beb3fb15dea4f0f50acbd7e9a81a4c2ae5","Project Unleash","330","721","1","0.0097 ETH ($12.88)","X2Y2"
"0x1fa67399f4cfc8d023a323a87c196ad18edc2e27520a59a9ed9313592df05fe5","1664236811","2022-09-27 00:00:11","Bought","0x5760573346402189044124010329384452796525","Project Unleash","5365","721","1","0.01 ETH ($13.28)","OpenSea"
"0xe64574db4508eebddf5570e72ce5964238d9bdbe7bb891f47a41d7fa98fcc6b0","1664236811","2022-09-27 00:00:11","Bought","0x4392411518023121823383670050654637376689","Kitaro World","6529","721","1","0.037 ETH ($49.14)","OpenSea"
"0x40aad8b6384ca9dee3c683309e5e2373c3ba0922bfeba5d046666e8d29a0ea94","1664236811","2022-09-27 00:00:11","Bought","0x3185716339548776992912985059414816151783","Gods of Yesterday","181","721","1","0.042 ETH ($55.78)","OpenSea"
"0x618e78d97a2be299636dab48c1911cb2775d13107c34ecdf219a2309303711f3","1664236811","2022-09-27 00:00:11","Bought","0x3937015636112397454270538353432687396017","Kitaro World","7632","721","1","0.036 ETH ($47.81)","OpenSea"
"0x9b6e688804eca3e13789aec58028ebbaf6d0baa0314f82985dca2145a940688a","1664236811","2022-09-27 00:00:11","Bought","0x7491337366474502895703097903203599465252","Exoapes","224","721","1","0.0129 ETH ($17.13)","OpenSea"
"0xfbf829f72e0994c3e006e9f69fe9452e028c3dafec17461e5490daef839b5969","1664236811","2022-09-27 00:00:11","Bought","0x8a67d11eabe84b905bc6e29628eb5281594426d7","0xa604060890923ff400e8c6f5290461a83aedacec","69528635831880907417074098814949621878912285758767770959628374373914774601729","1155","1","0.39 WETH ($517.96)","OpenSea"
"0x409fa22b09e7f77287c3da4dcba6aed8b8c91fd31c812546bd49168968e82e02","1664236811","2022-09-27 00:00:11","Bought","0x2720427968099516919938365027225588666192","SuperApesClub","1907","721","1","0.1 ETH ($132.81)","OpenSea"
"0x4fe209046e0458e7f1724e4e65f68347c1e7733e4c62df255fbe428d28e7cea4","1664236811","2022-09-27 00:00:11","Bought","0x9286526100835656798301322090468905758829","Project Unleash","5537","721","1","0.0085 ETH ($11.29)","OpenSea"
"0xb7ee99808dd575c886dc441d91a3250db95bf9e11116c12c1e121170a571379f","1664236811","2022-09-27 00:00:11","Bought","0x5469217024765365318802516741811062354029","Project Unleash","5153","721","1","0.0072 ETH ($9.56)","OpenSea"
"0xd4be1474c25405fb6138ff62086544e67097d39d337480d45a123b81b19ed5f6","1664236811","2022-09-27 00:00:11","Bought","0x1353258860054300105829732415036293586061","God Hates NFTees","4183","721","1","0.41999999999 ETH ($557.81)","OpenSea"
"0xfb6579c5a4c7c90087568702078cd1df91a7b1d9467c1ae36c1b7d3520a3b48e","1664236811","2022-09-27 00:00:11","Bought","0xb2baa2e39c78673383b35ea6bd100a4d28fcb5b7","Project Unleash","3515","721","1","0.007 ETH ($9.30)","X2Y2"
"0x05023fd5d08915aec0a2e56808369f72db195f9c5b36c18e03742d96478894ef","1664236811","2022-09-27 00:00:11","Bought","0x5270618669656157585661654862602247175519","Loser Club","1324","721","1","0.139969 ETH ($185.89)","OpenSea"
