"Txn Hash","UnixTimestamp","Date Time (UTC)","Action","Buyer","NFT","Token ID","Type","Quantity","Price","Market"
"0x85e572967deb72a325df90422be3ceef13ce62d4e08fd46ceab9f0bf97e965f7","1660348803","2022-08-13 00:00:03","Bought","0x4081533951249353325083398871949701456404","The Abducting Collective: V3","8302","721","1","0.01 ETH ($19.84)","OpenSea"
"0x88f556f709f23e8939050a469a1e90612c0d06d55f7a3a6ee5c114b448ddf9f3","1660348803","2022-08-13 00:00:03","Bought","0x8800988877167015488223334865164668077790","CyberBrokers","9025","721","1","1.19 ETH ($2,361.31)","OpenSea"
"0x8ff70be591ce8937dbbdf4583cef7c1db94756931ae45f9237342b721e8e6a91","1660348803","2022-08-13 00:00:03","Bought","0x9744924978298496007721217889522385361659","Janky Ass Crypto Collection by Superplastic x Janky x Guggimon","6000100020","721","1","0.07999999 ETH ($158.74)","OpenSea"
"0xc1d638129a3a2079b133ffa5e7e37d264e5d96da24e6d61cb6dab6e98d2a45a3","1660348803","2022-08-13 00:00:03","Bought","0x6582761216408814470466871580763780730725","Arcade Land","7562","721","1","0.159 ETH ($315.50)","OpenSea"
"0xb91359103e6b7a1dfdc3a365c818c577042886caff0b4c4bf485b18d146e1fb4","1660348803","2022-08-13 00:00:03","Bought","0x9027553420638241162159076527447582839333","Rebel Racoon","143","721","1","0.0034 ETH ($6.75)","OpenSea"
"0x099e97bd7d1f7cd41c1de346b84c75773fe87f99d9275eb4e751493079cab95d","1660348803","2022-08-13 00:00:03","Bought","0x7315535402390062464480403160963167467127","C86 Cyborg","46","721","1","0.058 ETH ($115.09)","OpenSea"
"0x935b1e5903339fddd496c9c05f126373dde53fdc0aac4db2ae841e709b24b312","1660348803","2022-08-13 00:00:03","Bought","0x2333758387214346378025699229587574920527","ThugRatz","1702","721","1","0.0029 ETH ($5.75)","OpenSea"
"0x2f1a36d0c152e9675dc0882a948f9531b1bf2f7f1ebe32879094ac45942f87ef","1660348803","2022-08-13 00:00:03","Bought","0x1822268274421574806885153553881498113736","TWD Mystery Crate","388","721","1","0.06995000001 ETH ($138.80)","OpenSea"
"0x528f56f73a73d1270bc8e79667225a42658ef4c99397dc34db9f71ede3737d1e","1660348803","2022-08-13 00:00:03","Bought","0x8320219394854712608148642649250570244074","TWD Land Tool Drop","11546","721","1","0.03 ETH ($59.53)","OpenSea"
"0xd33ee3eca1712bc1644d5c3a72b5e42e73545b836ea6e01c65f43af00df93b56","1660348803","2022-08-13 00:00:03","Bought","0x4720771810106525308756117015971392095686","CrudeBorne Eggs","4358","721","1","0.105 ETH ($208.35)","OpenSea"
"0x83fb29feb7fed09cbc26a7752da283059d623ed640b7b48a9017fa7bf1460fa1","1660348803","2022-08-13 00:00:03","Bought","0x5974985342064868241066960329349701942416","8liens","4104","721","1","0.235 ETH ($466.31)","OpenSea"
"0x8e6f66a586d877cd3f04b0918768967e070c33c9a8358279e54b9426007e036f","1660348803","2022-08-13 00:00:03","Bought","0x7617624785210253544016606538958234076016","DoodlePepes Official","1559","721","1","0.00045 ETH ($0.89)","OpenSea"
"0x8e6f66a586d877cd3f04b0918768967e070c33c9a8358279e54b9426007e036f","1660348803","2022-08-13 00:00:03","Bought","0x5158394696791020382161223278472084472688","DoodlePepes Official","1557","721","1","0.00045 ETH ($0.89)","OpenSea"
"0x8e6f66a586d877cd3f04b0918768967e070c33c9a8358279e54b9426007e036f","1660348803","2022-08-13 00:00:03","Bought","0x8773591612813662143156701288190516544368","DoodlePepes Official","1556","721","1","0.00045 ETH ($0.89)","OpenSea"
"0x1da6ad2ac0c7ed0b4ea17174cc38a8d430d3d091bd23459df22282ed8a75ad29","1660348803","2022-08-13 00:00:03","Bought","0x9878091890143088286871653691149970940309","Quirklings","7986","721","1","0.14 ETH ($277.80)","OpenSea"
"0xdbf42a45e002c48fa8cefa4b046a7ac99fb9e9ff63cd8193cab27044a79464c6","1660348822","2022-08-13 00:00:22","Bought","0x5676850063843991441417410895478751620272","Mutant Anatomy Science Ape Club","11137","721","1","0.0054 ETH ($10.72)","OpenSea"
