"Txn Hash","UnixTimestamp","Date Time (UTC)","Action","Buyer","NFT","Token ID","Type","Quantity","Price","Market"
"0x70b4abbca7e20d866ee6b136711c4d401fd1811c346b9600c5d19b561b4efbd2","1658707201","2022-07-25 00:00:01","Bought","0x6258991523352331804988354957994199950294","Potatoz","4044","721","1","1.349 ETH ($1,939.88)","OpenSea"
"0x94b2f8fbe0a073e4543fc4ae7b4ced312c764e24d6b37ff82af76ded1e111723","1658707201","2022-07-25 00:00:01","Bought","0x1488477956409525127253027542207156501010","Allstarz","7044","721","1","0.03 ETH ($43.14)","OpenSea"
"0xde270e023303f01d140ab4871c86c8f2086550b43350bdca5b9ace945704a150","1658707201","2022-07-25 00:00:01","Bought","0x2950103124110381034934795619269168850060","CritterzWTF","803","721","1","0.0055 ETH ($7.91)","OpenSea"
"0x07c5d08b809214c8842c80182e649164123b0ef5b3d6c67f3b7a421671c24bb8","1658707203","2022-07-25 00:00:03","Bought","0x3195121605208940833312750523750612091760","Ethereum Name Service","32708649639667286243826372892769105442861965148257385756215913084969172077005","721","1","0.00245 ETH ($3.52)","OpenSea"
"0xb782b2261dbb68e9a85db49e2273f36e8c38fdec9ce12f3c5f1079900a35fc9c","1658707203","2022-07-25 00:00:03","Bought","0x1213128203233684510459018662902523123514","OpenSea Shared Storefront","47962609947293890009065351706700457831661360273274544087483923735967313171336","1155","1","0.129 ETH ($185.50)","OpenSea"
"0x0b57fce871692003741568439d745f3f0de28b84d484b29d68ea851d566d870d","1658707203","2022-07-25 00:00:03","Bought","0x4756244225507030329560476136779406469153","Gossamer Academy","2354","721","1","0.078 ETH ($112.16)","OpenSea"
"0xabe22480c0f79948287d3dda89c2520b9a910029a922605cf888c8d91d8bc649","1658707203","2022-07-25 00:00:03","Bought","0x9506042657515898576020186376619135541139","Rags to Richie by Alec Monopoly","1319","721","1","0.41 ETH ($589.58)","OpenSea"
"0x0310d8c88403ff90a1b28f67978692372d2d1727b7ea8c38c7d79516ff1e1af4","1658707203","2022-07-25 00:00:03","Bought","0x5025837074853404779888650979530956099135","AIMoonbirds","1441","721","1","0.05 ETH ($71.90)","OpenSea"
"0xfda958721cafd1e34ca1a4a4ac8e0b87daec0645d5c368793deaf8cfce5bba18","1658707203","2022-07-25 00:00:03","Bought","0x95cff92d71f55b69bdcb41fd33f3c6a323debccc","Allstarz","6475","721","1","0.025 ETH ($35.95)","X2Y2"
"0x2be248658b26cd77f17ebc83baca6d7008b633e14efa8eafb1c1159e69ccf13e","1658707203","2022-07-25 00:00:03","Bought","0x2903446557086870752170797885001264693762","Wiz Bums V2","519","721","1","0.005 ETH ($7.19)","OpenSea"
"0x2be248658b26cd77f17ebc83baca6d7008b633e14efa8eafb1c1159e69ccf13e","1658707203","2022-07-25 00:00:03","Bought","0x9781102363188559317509797457555627802110","Wiz Bums V2","510","721","1","0.005 ETH ($7.19)","OpenSea"
"0x2be248658b26cd77f17ebc83baca6d7008b633e14efa8eafb1c1159e69ccf13e","1658707203","2022-07-25 00:00:03","Bought","0x9096809431433360600588140098917109236226","Wiz Bums V2","509","721","1","0.005 ETH ($7.19)","OpenSea"
"0x2be248658b26cd77f17ebc83baca6d7008b633e14efa8eafb1c1159e69ccf13e","1658707203","2022-07-25 00:00:03","Bought","0x6176421266996953014251104021389590823426","Wiz Bums V2","459","721","1","0.005 ETH ($7.19)","OpenSea"
"0xb67375cc8b5ba9588e67b2d1a2593a4c974decaf1958f61578badda7f9c2b1d3","1658707203","2022-07-25 00:00:03","Bought","0x4216307266938793123100907072641925420463","Space Pals","2087","721","1","0.01 ETH ($14.38)","OpenSea"
