"Txn Hash","UnixTimestamp","Date Time (UTC)","Action","Buyer","NFT","Token ID","Type","Quantity","Price","Market"
"0x0f855b4c6a6f4d594b6c6450bbffcd0b6b990318314e83be8d2ae11822ab789c","1658102403","2022-07-18 00:00:03","Bought","0x8405412072184001711637354977715168206761","St4yhome by Mathias Isaksen","209","721","1","0.035 ETH ($55.42)","OpenSea"
"0xe9491c5e9487090eaaa67ac1bc66dedc916d2834004e3fa6ce928e3fc7278884","1658102403","2022-07-18 00:00:03","Bought","0x948a4dbdaccb4d10b9395b4c863d34e335e3eb21","Zorbs","17785","721","1","0.025 WETH ($39.59)","OpenSea"
"0x33cebc02a0b583decd4202ad0cff9e7326f450419b40aa72483f121554e36074","1658102403","2022-07-18 00:00:03","Bought","0xd30dd96ecb6036e73d3232a3b0e87f5e13a8dc1b","St4yhome by Mathias Isaksen","938","721","1","0.041 WETH ($64.93)","OpenSea"
"0x288e2b54f79eab796f7aaa2f5d48777df071c63a7987343a836be1a529dd3234","1658102403","2022-07-18 00:00:03","Bought","0x1360183158057634374894894282005323442493","oncyber labs","5","1155","1","0.899 ETH ($1,423.61)","OpenSea"
"0xfe6124ff126080d76d7baa81f406664501ba8cab3edf87f34edbba4097c44571","1658102403","2022-07-18 00:00:03","Bought","0x3314790585650831337087242095171551574127","deathisinevitable","344","721","1","0.001 ETH ($1.58)","OpenSea"
"0xfcd0bc8e6e575dd146690c3485e56f0310fae1164b2724e0f5cc488675bc75bf","1658102403","2022-07-18 00:00:03","Bought","0x8891210920559349441447397203091969709839","Enfants","1386","721","1","0.005 ETH ($7.92)","OpenSea"
"0xce0034b302e6684f6d7032d25db785f5225d00c13581051a4e41584a015c8868","1658102403","2022-07-18 00:00:03","Bought","0x6902489846014363084221151525377418383580","YouByPeace","6876","721","1","0.001 ETH ($1.58)","OpenSea"
"0x2cbbdc457c3f4c83439426610751b057ef70cc4c405d3fde76def48996e92090","1658102403","2022-07-18 00:00:03","Bought","0x1821193001104943209290556333977956336726","The British","2452","721","1","0.005 ETH ($7.92)","OpenSea"
"0x3c9e5858ffe6f926fe0e08281e27e733aef44c450b95a5068f0ba2db0c9ddf7c","1658102403","2022-07-18 00:00:03","Bought","0xe34ee53f045293fd21aea306c33cb862f5ec8eb4","St4yhome by Mathias Isaksen","154","721","1","0.05 ETH ($79.18)","X2Y2"
"0x0142569d797dc09ae543791ce9cfbc7858ffdc14b28d774caf874cfe6c1fd54f","1658102403","2022-07-18 00:00:03","Bought","0x5495887655038571906780207628034720061731","FrenchieBallers","1585","721","1","0.149 ETH ($235.95)","OpenSea"
"0x0142569d797dc09ae543791ce9cfbc7858ffdc14b28d774caf874cfe6c1fd54f","1658102403","2022-07-18 00:00:03","Bought","0x2348144914938067696365232706767828736291","FrenchieBallers","853","721","1","0.1 ETH ($158.36)","OpenSea"
"0x4b7da7abd8660c376276418718f0acb2e699c55f34e29e2951c79b4e922951ff","1658102403","2022-07-18 00:00:03","Bought","0xf65b4fc9823f18f969736ff1f8fc088ffa68798f","OpenSea Shared Storefront","17854310454196282035870592841598074249268846845716858963664664069193062154241","1155","1","0 ETH ","OpenSea"
"0x4b7da7abd8660c376276418718f0acb2e699c55f34e29e2951c79b4e922951ff","1658102403","2022-07-18 00:00:03","Bought","0xf65b4fc9823f18f969736ff1f8fc088ffa68798f","OpenSea Shared Storefront","17854310454196282035870592841598074249268846845716858963664664070292573782017","1155","1","0 ETH ","OpenSea"
"0x4b7da7abd8660c376276418718f0acb2e699c55f34e29e2951c79b4e922951ff","1658102403","2022-07-18 00:00:03","Bought","0xf65b4fc9823f18f969736ff1f8fc088ffa68798f","OpenSea Shared Storefront","17854310454196282035870592841598074249268846845716858963664664071392085409793","1155","1","0 ETH ","OpenSea"
"0x4b7da7abd8660c376276418718f0acb2e699c55f34e29e2951c79b4e922951ff","1658102403","2022-07-18 00:00:03","Bought","0xf65b4fc9823f18f969736ff1f8fc088ffa68798f","OpenSea Shared Storefront","17854310454196282035870592841598074249268846845716858963664664072491597037569","1155","1","0 ETH ","OpenSea"
"0x4b7da7abd8660c376276418718f0acb2e699c55f34e29e2951c79b4e922951ff","1658102403","2022-07-18 00:00:03","Bought","0xf65b4fc9823f18f969736ff1f8fc088ffa68798f","OpenSea Shared Storefront","17854310454196282035870592841598074249268846845716858963664664073591108665345","1155","1","0 ETH ","OpenSea"
"0xd8ee083d848f7b26e1a5f8393d2ef87f8dd1ab85bc2c77be70cde6b36b75a9cc","1658102403","2022-07-18 00:00:03","Bought","0x342bd953d03c0baa824124a40e33010a215e51f5","OpenSea Shared Storefront","21443585996636759684199690812788565805597451808014681145460003611750317424641","1155","1","0.02 ETH ($31.67)","OpenSea"
"0x6ecd1df9b3ed4982af61f769c70850f638e1cade68c523fefead7ccd5bc38daa","1658102403","2022-07-18 00:00:03","Bought","0x3362920881360319819697789909785369710870","DragonTown","7779","721","1","0.0087 ETH ($13.78)","OpenSea"
"0x6ecd1df9b3ed4982af61f769c70850f638e1cade68c523fefead7ccd5bc38daa","1658102403","2022-07-18 00:00:03","Bought","0x3939347119183215256638997313957059555050","DragonTown","6747","721","1","0.0088 ETH ($13.94)","OpenSea"
"0xc82d14e7b74111f8bb8887b5bc02e29c8b4390cadcbe4289742252887d360ffd","1658102403","2022-07-18 00:00:03","Bought","0x7139367370165397301157595216487863017385","St4yhome by Mathias Isaksen","433","721","1","0.05 ETH ($79.18)","OpenSea"
"0x77a5e81050ffab3277d24730bbd604fa8d95350987565f9cc3cfcd355965c774","1658102403","2022-07-18 00:00:03","Bought","0x0840388364586056354946791239843105226186","Sandbox's ASSETs","82721401568068700464768584722557396144540925508197238457705019531185100963841","1155","1","3.28 SAND ","OpenSea"
"0x49e45279d89edf15c7bc4d94c813f39f004c175e4f2b5e395fabd91b48637eaf","1658102403","2022-07-18 00:00:03","Bought","0x3932288414390797190026359610664202019803","Goblinland_wtf","3155","721","1","0.0396 ETH ($62.71)","OpenSea"
"0x0964c37a9ca2416990805b42246308ba21bb647ac78c474b5a317732e24c2db7","1658102407","2022-07-18 00:00:07","Bought","0x9947656291322781709740450171686862706133","TheRevolution","2971","721","1","0.002 ETH ($3.17)","OpenSea"
"0xaab9a840bda22f1f95c93cf83e51f9a4229e263211d2736f5a0669d008eca7be","1658102407","2022-07-18 00:00:07","Bought","0x7135195084399746671355451608566082089597","CubeX NFTs","7118","721","1","0.237 ETH ($375.30)","OpenSea"
"0x952deed488eed52682ea708ca39fe8887f1a042d82882d28201a23a1152dea58","1658102407","2022-07-18 00:00:07","Bought","0x0656186778588176756657105669596337941035","TheRevolution","1819","721","1","0.001 ETH ($1.58)","OpenSea"
"0xf45391d3b64973d3107a1e214defaab96b7edfc7fe2477257c1c14b2d1768dfd","1658102407","2022-07-18 00:00:07","Bought","0x3054752516497380363456838803245995663447","St4yhome by Mathias Isaksen","682","721","1","0.05 ETH ($79.18)","OpenSea"
"0xf7840982d20b3dfa2a9c78d3caea2dc127be38071e23a5254877bffb3112bba0","1658102410","2022-07-18 00:00:10","Bought","0x9213141825482457363486691118027470790569","St4yhome by Mathias Isaksen","389","721","1","0.04 ETH ($63.34)","OpenSea"
"0x331f0957980449febcda7ddbee16f937cd4f9310902e351a4860a43c5bfaf462","1658102410","2022-07-18 00:00:10","Bought","0x7622035058103043936755876695091162914903","St4yhome by Mathias Isaksen","421","721","1","0.05 ETH ($79.18)","OpenSea"
"0x4cffe2914a02e4737151f01ddeef3222467464852499466fcf46f9a9e005a9fb","1658102410","2022-07-18 00:00:10","Bought","0x0707293663543183359045395256004830652657","Enfants","4380","721","1","0.024 ETH ($38.01)","OpenSea"
