"Txn Hash","UnixTimestamp","Date Time (UTC)","Action","Buyer","NFT","Token ID","Type","Quantity","Price","Market"
"0x61fd0f9a0c5d2ac9b07ec0a67927222f1eef91e067b020f7765f7985aa3ba836","1659312016","2022-08-01 00:00:16","Bought","0x509eba604eca93a7c0c1188e32d39b3977a84538","HypeBears","403","721","1","0.045 WETH ($73.38)","OpenSea"
"0xd969b93464b3a86e6ae92338705a9c92769c1cdcdba01e343fc1b2c19ff1c307","1659312016","2022-08-01 00:00:16","Bought","0x8024026669003611449348560278236578837440","0xa604060890923ff400e8c6f5290461a83aedacec","11043837723173413181082454425258481659328892055622185888759461754329284739073","1155","1","0.0045 ETH ($7.34)","OpenSea"
"0x722073f91e0b7c61e527061c34e91c5eaa6ac77e00abe15d70d4893ea13ff6b1","1659312019","2022-08-01 00:00:19","Bought","0x7683288505175107252213915787945198385977","0x99ff13e70ad1de4335a636f029ef510749d67b39","4","1155","1","0.0067999999 ETH ($11.09)","OpenSea"
"0x4d3382508798fc45a0459ae22dcfeefc0c1019bde2748431e089fb4a89c7747e","1659312019","2022-08-01 00:00:19","Bought","0x8577004614817835932323519629123679494924","0xa604060890923ff400e8c6f5290461a83aedacec","11109179810418610233123544384795183172325731298456949817533262837745316790522","1155","1","0.005 ETH ($8.15)","OpenSea"
"0x66ba1a186efdfd01fb8c16e8271bb9857a7dd67d205f195791c766766c16ec3f","1659312019","2022-08-01 00:00:19","Bought","0x1364350170281646344122537027729138297310","Moon Mutants","1130","721","1","0.051 ETH ($83.16)","OpenSea"
"0xcdeb52684e4d293981c61efe78ec16c728d6b17788e8737047e352eae5847835","1659312019","2022-08-01 00:00:19","Bought","0x7276868267396861365356906240321250916022","OpenSea Shared Storefront","86551122605171227884725911125719490282910141831025918475536649056951174430721","1155","1","0.025 ETH ($40.77)","OpenSea"
"0x321cc8ad0b546525f1f8c1fca20815fd74218a0a4fd15d5156bb7c8db0d048dc","1659312019","2022-08-01 00:00:19","Bought","0x5972596656162631239631751473037905144286","Moon Mutants","817","721","1","0.0456 ETH ($74.36)","OpenSea"
"0xbf5d5b92cb8df28a516426af7e826c274d7ff0eb59da796136de2f763b9b6de5","1659312019","2022-08-01 00:00:19","Bought","0xbdaa4fb29a4ef897c417b0a176dfb8c651c9d32d","The Americans","4259","721","1","0.0099 WETH ($16.14)","OpenSea"
"0x408c5e3b04a932a3aaea5d706ae1b0714874dc2218196e8c4ca554cd95ddeebe","1659312019","2022-08-01 00:00:19","Bought","0x8462238425905295227828750090019273198591","0xa604060890923ff400e8c6f5290461a83aedacec","47708616185059401698777212958703931600238200270380827373048373592285350199297","1155","1","0.003 ETH ($4.89)","OpenSea"
"0xbb5709247090b02349369c3a029fd095f01a055f059613fcdfab4fcc9512803e","1659312019","2022-08-01 00:00:19","Bought","0x7109785403564137598642605767681503151296","0x707c45204afa2abed0c322e1458540ddb0320851","1","1155","1","0.05 ETH ($81.53)","OpenSea"
"0xe41a86940d59ea15a749ebbd3823d0dd218e4da07d650be7ced399899191c390","1659312019","2022-08-01 00:00:19","Bought","0x6245204960067240498756979384034454133797","Goblinland_wtf","4337","721","1","0.003 ETH ($4.89)","OpenSea"
"0x43d32c81e6df1ffaa1d86276cb78d60d310a5fd30553be58b440b29bbf287766","1659312019","2022-08-01 00:00:19","Bought","0x0928306844698281742459227773550954292292","UghaBugha","1426","721","1","0.022 ETH ($35.87)","OpenSea"
"0x2bbd4522f49bcc43c92f489d4bb3c62fbe40d690c011559a012928f95f790dd4","1659312019","2022-08-01 00:00:19","Bought","0x57ff28fb0e39c241c760251a20b4640cdfcd9f04","HypeBears","571","721","1","0.042 WETH ($68.49)","OpenSea"
"0x267655f2b94f14f836bc9a9160fa8022b08b80649eccdead5804685fb14bc614","1659312019","2022-08-01 00:00:19","Bought","0x9199518334830351619701544431042521736260","UghaBugha","472","721","1","0.024 ETH ($39.13)","OpenSea"
"0x1cfa75aff0047680dcba50b85f21ae40effc667622f87288fb3b40ad886be7c2","1659312019","2022-08-01 00:00:19","Bought","0x2615865640017413617746714419225524942063","MAXPEPE by YCOPY","1889","721","1","0.0039 ETH ($6.36)","OpenSea"
"0x39a5baa5d91e5443cf8a9cb339c9936009d1aa93af04ad4f134733d5ee694ffa","1659312019","2022-08-01 00:00:19","Bought","0x3495441332638128102715181953759347824162","Moon Mutants","660","721","1","0.03999999 ETH ($65.22)","OpenSea"
"0x0f3c838e0628c57e6b4e29ba21b3b2dd0bc99b50df80c7c2b76f2b9650d5a3ea","1659312019","2022-08-01 00:00:19","Bought","0x8968147520463786283654231032672135012469","Butt Heads NFT","2743","721","1","0.006 ETH ($9.78)","OpenSea"
"0xfe7b9520964aa5b19aac5fb0038a837b9a0ed5afc31000c19441e05e34ef70a9","1659312076","2022-08-01 00:01:16","Bought","0x2470465566733882550341065061441076727458","The Mutant Ape Saudis","4557","721","1","0.005 ETH ($8.15)","OpenSea"
"0x83aa22f8eb39105e1b26047f7739e81f76fd8a52a65b6b91d0a09cacc0ef4e78","1659312076","2022-08-01 00:01:16","Bought","0x7973975121718598800029795701116758816010","G’EVOLs","2080","721","1","0.08 ETH ($130.45)","OpenSea"
