,NFT,# Buyers,# Txns,Difference,Txns/Buyer
260,Blood. Delete. Return.,96,104,8,1.0833333333333333
261,wulf boy social club,50,54,4,1.08
262,AK Ultra,50,54,4,1.08
263,D3LUSION,365,394,29,1.0794520547945206
264,Potheadz by Satoshis Mom,139,150,11,1.079136690647482
265,Quirklings,51,55,4,1.0784313725490196
266,CloneX AI,64,69,5,1.078125
267,Aneroverse,65,70,5,1.0769230769230769
268,StrayDogz,119,128,9,1.0756302521008403
269,Spells,80,86,6,1.075
270,ToyMories,201,216,15,1.0746268656716418
271,DopePepeClub,67,72,5,1.0746268656716418
272,TOKS ATTACK!,95,102,7,1.0736842105263158
273,Sandbox's ASSETs,97,104,7,1.0721649484536082
274,BoneDucks,97,104,7,1.0721649484536082
275,Children of Ukiyo,112,120,8,1.0714285714285714
276,Art Blocks,253,271,18,1.0711462450592886
277,Timbears,60,64,4,1.0666666666666667
278,Thunder Valley,135,144,9,1.0666666666666667
279,BagHolders,227,242,15,1.066079295154185
280,RaveRavens,167,178,11,1.0658682634730539
281,0xa604060890923ff400e8c6f5290461a83aedacec,1503,1600,97,1.0645375914836992
282,Bad Influence,93,99,6,1.064516129032258
283,Alien Frens Evolution,63,67,4,1.0634920634920635
284,Beyond Earth Land,253,269,16,1.0632411067193677
285,Maximalist,128,136,8,1.0625
286,Kennel Apes,114,121,7,1.0614035087719298
287,MoonRatzWTF,131,139,8,1.0610687022900764
288,BearTings,334,354,20,1.0598802395209581
289,Bagner,308,326,18,1.0584415584415585
290,Voyagers,175,185,10,1.0571428571428572
291,EmoHeads,144,152,8,1.0555555555555556
292,0x212590b0dac9502e0591b79db4cedeb6356dcc36,234,247,13,1.0555555555555556
293,UghaBugha,73,77,4,1.0547945205479452
294,tanikani,111,117,6,1.054054054054054
295,Lazy Ape Yacht Club,93,98,5,1.053763440860215
296,St4yhome by Mathias Isaksen,287,302,15,1.0522648083623694
297,Chubby Little Jiras,176,185,9,1.0511363636363635
298,VaynerSports Pass,98,103,5,1.0510204081632653
299,Pepe Ape Yacht Club,197,207,10,1.0507614213197969
300,SubwayRats,240,252,12,1.05
301,jungleking,142,149,7,1.0492957746478873
302,ThePixelatedApes,183,192,9,1.0491803278688525
303,PIXELBAES,124,130,6,1.0483870967741935
304,Suki Learns to Fly,166,174,8,1.0481927710843373
305,Curio Key,104,109,5,1.0480769230769231
306,your mom,376,394,18,1.047872340425532
307,BattleBearz,149,156,7,1.0469798657718121
308,WizNFT,193,202,9,1.0466321243523315
309,Subjects,455,476,21,1.0461538461538462
310,Bored &amp; Dangerous,87,91,4,1.0459770114942528
311,League of Prophets,175,183,8,1.0457142857142858
312,The Americans,244,255,11,1.0450819672131149
313,Genesis Box,136,142,6,1.0441176470588236
314,Gutter Clone,138,144,6,1.0434782608695652
315,EZU,161,168,7,1.0434782608695652
316,Bored Gorilla Yacht Club,345,360,15,1.0434782608695652
317,BoredRengaYachtClub,233,243,10,1.0429184549356223
318,8bitguyz,237,247,10,1.0421940928270041
319,The Saudis,241,251,10,1.04149377593361
320,Phoenixes,801,834,33,1.0411985018726593
321,RareApepeYachtClub,319,332,13,1.0407523510971788
322,Yin Yang Gang,148,154,6,1.0405405405405406
323,MenjisWorld,175,182,7,1.04
324,WAGMI ARMY,404,420,16,1.0396039603960396
325,Mooncatz,178,185,7,1.0393258426966292
326,ImmortalPlayerCharacter,154,160,6,1.0389610389610389
327,MushGang,387,402,15,1.0387596899224807
328,Elder Torch,155,161,6,1.038709677419355
329,y00ts Yacht Club,491,510,19,1.0386965376782078
330,Exolienz By BonishBil,131,136,5,1.0381679389312977
331,ATSUI NFT,168,174,6,1.0357142857142858
332,MetalCore Infantry,142,147,5,1.0352112676056338
333,Stellar Ape Yacht Club,201,208,7,1.0348258706467661
334,Genuine Undead,405,419,14,1.0345679012345679
335,Moon Bats,408,422,14,1.0343137254901962
336,Pudgy Pepes,382,395,13,1.0340314136125655
337,Dirt Birds,355,367,12,1.0338028169014084
338,RatRace,149,154,5,1.0335570469798658
339,LifesAJokeNFT,152,157,5,1.0328947368421053
340,CrudeBorne Eggs,191,197,6,1.031413612565445
341,Onigiri Pepes,133,137,4,1.0300751879699248
342,Potatoz,134,138,4,1.0298507462686568
343,We All Survived Death,148,152,4,1.027027027027027
344,Cute AF,149,153,4,1.0268456375838926
345,Halfkingz,187,192,5,1.0267379679144386
346,Moonrunners,151,155,4,1.0264900662251655
347,RTFKT Clone X Forging SZN 1,155,159,4,1.0258064516129033
348,Monkz Bruh,272,279,7,1.025735294117647
349,Rotten Anti Social Club,235,241,6,1.025531914893617
350,DOGEDOGE,196,201,5,1.0255102040816326
351,TheFallen,200,205,5,1.025
352,LooksWhale69,205,210,5,1.024390243902439
353,Project Unleash,331,338,7,1.0211480362537764
354,Unfudables,430,439,9,1.0209302325581395
355,Shellz Orb,289,295,6,1.0207612456747406
356,The Possessed,261,266,5,1.0191570881226053
357,Fat Rat Mafia,312,317,5,1.016025641025641
358,Moon Owls NFT,382,387,5,1.013089005235602
