Txn Hash,UnixTimestamp,Date Time (UTC),Buyer,NFT,Token ID,Type,Quantity,Price
0x929cbf4b90addffc4f8c610afd295b583ac6866a3cda37a86587f3c04316fe32,1656634696,2022-07-01 00:18:16,0x8b265da0779172cd37f1a8dc786b828222902d74,Art Blocks,23000421,721,1,66108.0
0x5482a4945eadd939018b6a0aaba1ed3af09b2e21cbf0cb2e26e0762cc08f9b44,1659658461,2022-08-05 00:14:21,0x7503011352205869172958704458931519208592,OpenSea Shared Storefront,87964326654330570576957894041968793689127370950909547975178653707261387472897,1155,1,65930.7901
0xa480c008e443a571496ef42c97298c30e7321802cc2f9d121b3e33b96aae5647,1659658652,2022-08-05 00:17:32,0x1134366534260897085122384593350397936496,OpenSea Shared Storefront,87964326654330570576957894041968793689127370950909547975178653877685689778177,1155,1,64856.6147
0x1d0dd18e1e5a09d97be1332e95b544a317c3bdff6fce9064590566e3cdd397ea,1659658370,2022-08-05 00:12:50,0x8902516773483095134138595853774255440752,OpenSea Shared Storefront,87964326654330570576957894041968793689127370950909547975178653882083736289281,1155,1,63585.9438
0x342300a83852ee122c85662223d073fcd95bb967ca6dfc5ff40cf0492ac438b1,1657411990,2022-07-10 00:13:10,0x1540603259258808071497062351947579441801,The Saudis,4534,721,17,63280.02492399998
0x5dbca3791f4b7ab1f5dac9586f10c4bd85803a05d5e3dca2994b50eeed9b1f59,1657670949,2022-07-13 00:09:09,0x5033617010900360814558417350500328416752,TheSaudisGoblin,2141,721,17,62722.892080764694
0x61ca450bf0f100eac6c79aeda5ab875a1133183aa672e3f5b450b0efa6d5ea76,1657066262,2022-07-06 00:11:02,0x5471251547657324463741803428554070135553,Saviors,2140,721,10,55816.58664170424
0xee9bdbc187283cb82b06ce19928e1905d67e4a974b4c1cbe42e7cbe0a6c3f1fd,1658190197,2022-07-19 00:23:17,0x2331447001708177065270178185890385712674,Moon Bats,7381,721,3,51991.39933000001
0xc2143dd503aac05c1dececd0822dc0d8a3867e051d19b3d1436931b18aff61cc,1656979361,2022-07-05 00:02:41,0x9899653943998336905501587133210001343851,Flower Fam,3626,721,11,51133.54365827271
0x420353a367391dc7b12136f3e88abdbeef7977b927b708d9d6c540010ac6208d,1662164379,2022-09-03 00:19:39,0x8645396493105963220508830329944697821415,Ethereum Name Service,107050004361937841125068707794612923794239871005753173866944145672626536827973,721,1,43229.01
0x017f1ecd55fe0e1deb23309bd816eb7f47189bc2d0c79a71939a7df3c677cc6d,1659226261,2022-07-31 00:11:01,0x01edd2989faac7998a5137aa0672ecec9b0ce333,Ethereum Name Service,19648893693201738668417974968841358603170421674573023122774348924565593878244,721,1,39299.1
0x868bdfc7ba0f323d95644e563a767c398f49277ce0f096b957c294bd256700ef,1658016865,2022-07-17 00:14:25,0x0668057885054584959897145888791937686776,ShitBeast,6102,721,5,34803.158331
0x78269a65c463891e90cafbf6dca3e349dcf3bb188689345af38edf1c4b7aef96,1657325106,2022-07-09 00:05:06,0x1740831891476668103808764602355621785615,BoredApeYachtClub,6148,721,4,32315.191440500002
0x86ed55cedfca410e8002da38fa3352123468ff558401b3b0992b178bf9f21134,1657411382,2022-07-10 00:03:02,0x6239804cabcbe5dc827b41b9730de73122110b4c,MutantApeYachtClub,17705,721,1,29748.600000000002
0x14504fb1a5a8b1649a74fc52b8d14633c22860ebc6731f3df22f11b75b27d9b0,1656720497,2022-07-02 00:08:17,0x0742750694863070042891064731170155459738,Otherdeed,91910,721,1,28819.34
0xd310ceabf1c1d0ae54eb6ec80d67a5b53484e21afbf1f876819be9c0f254eadb,1658448502,2022-07-22 00:08:22,0xc9aa644193fb9a1663a63ef86b3f2fe64fa96418,MutantApeYachtClub,26371,721,2,27002.84848588
0xb396467ceed64a69bc9bd6a095578f3b1a561f1de1e57692e3358a47af606658,1657757037,2022-07-14 00:03:57,0x3130428088384929190134139894144155557025,CryptoShack,1098,721,15,26553.563759666667
0x1297caa46041b51bcd3bad8a837d3330c84b5a36eb3548be56356709e8ee849c,1657497739,2022-07-11 00:02:19,0x1057881840140344474956929552707550933007,MutantApeYachtClub,28660,721,1,26199.4
0x08f187d5a6e39f25e4c50e974a20b750e8020e2e7cdf340ab3e5d530f4eba93b,1662423243,2022-09-06 00:14:03,0x0138680970829732619490414616171841411303,Ethereum Name Service,75762545109806518288376386945319501390388073994770627675519962267533160499152,721,1,26199.4
0xd5e024ee6ff4be62075c7da311073c648a09773f4576bcc7e46ee4cbbfec85bb,1658794841,2022-07-26 00:20:41,0xaafa1fe3b8c0b2f0d0305bcc3641dfa326567bce,MutantApeYachtClub,19067,721,1,26112.66
0xfd84e300fa4d9974474c834e4f69f46b17d0385c4d59c2b0dee467185ec36333,1657930007,2022-07-16 00:06:47,0x4360012685389186771777646400210076471281,MutantApeYachtClub,11492,721,1,25478.9165
0xafc37f012cf7574c5e86a24418ee855935665d94cd1729b8f9bf7e18195ed965,1663892135,2022-09-23 00:15:35,0x7005752390358158636031132654729859247857,MutantApeYachtClub,19214,721,1,24889.43
0xbad5fe11ee492107fa93fcd11bd88e2afaebaf816a9219a80952026a7367fefe,1659658797,2022-08-05 00:19:57,0xbfa816c6a009084bb7dba66fc4012d0fb71d2360,0xa604060890923ff400e8c6f5290461a83aedacec,30239786289656624631775545739374228637681550338943629394287538739819902402561,1155,1,23798.88
0x612f153ce00771a07ea9433eaff3ebd16638f22e93481998af80577dc96f3502,1663718567,2022-09-21 00:02:47,0x64804258760086878e69bf6eca13edcd1d9a1429,MutantApeYachtClub,12348,721,1,23798.88
0xf1d94af9be306dc229ef91291bafa1c0a3439f4efcf0f39dcaecfd374d5f22da,1657757348,2022-07-14 00:09:08,0x6571647782562172064956700399025949312083,DopeApeClub,3153,721,8,23611.254338412502
0x098b044529a285bcf959015d7965109d6aac6013105ae1f30dc0ef576a8941cb,1661559966,2022-08-27 00:26:06,0x8352927857601466604387044493518348562161,MutantApeYachtClub,23762,721,1,23178.871174
0x67aba62fa0da1d7d647e335e4d0b7a604e07e2e80e3637868c731647a523f66e,1662424498,2022-09-06 00:34:58,0x4eed739616bc248ae98088429ac9bd7db9e124e3,MutantApeYachtClub,11935,721,1,23137.800000000003
0x6d9abb0efd7c1b59ea1861535ac926fcc266a5dc64fbd54dfbe55b43652172b6,1660090674,2022-08-10 00:17:54,0x2a138e24cf857f189826600463c05d0cac5aeede,MutantApeYachtClub,24109,721,1,23005.584
0x66f2cf932b91ceea76c9d4d8d5e9fa71f0135153bae2ee4cc0280025b833d807,1658188826,2022-07-19 00:00:26,0xed49e0494db7e6404ac7d3b9bc7c449b45984889,MutantApeYachtClub,22066,721,1,21974.2992
0x85e823c130816faeded91334a801ac53a0eb22aa45c85b30bb536c908deae551,1662424629,2022-09-06 00:37:09,0x9f1d56db473bdfaae52ea55c484bf1b7f5f0eee8,Otherdeed,71254,721,1,21815.640000000003
0xa782a921e472ffa82970af87e7237dd9398c3359e2a99b582f20f4fe053978ad,1659830968,2022-08-07 00:09:28,0x2554498698688687716383150535943639084785,MutantApeYachtClub,14704,721,1,21601.4053
0xf643e6c397be888127009927b66b7a0374672a6a2039c19b0f72c1124d0301f5,1658534960,2022-07-23 00:09:20,0xd9eb899a1171e5d160978428bf31abe371675a1d,MutantApeYachtClub,27996,721,1,21552.53016
0x0f66d09d2c6568c341b279b59ef5212c70c7d8eb9d0fcc27d50df88970cf103f,1664150735,2022-09-26 00:05:35,0x9222cf504c11dcdc8642192917274b7a9884ea67,MutantApeYachtClub,15828,721,1,20559.588000000003
0xcbbaba47c841e47d1d504f47c6df947eca66c2c242ba1193245064356349d03f,1658794354,2022-07-26 00:12:34,0x47147c03b34e177020905afe309b77636ecac256,MutantApeYachtClub,15520,721,1,20149.7184
0x130c92c6de559b1c1604f9a8aa446b782f43d56cab1a884ad0bd57a364d8d1de,1663891631,2022-09-23 00:07:11,0x4781993212395522160637401895903449919217,MutantApeYachtClub,11902,721,1,20108.0395
0x9330ede69417ee9bab1f40c6ac29e4b1faf2dba70901ac6d545ffa67feb47886,1663979015,2022-09-24 00:23:35,0x8123938047058197847808296010372127600981,Quantum Art,430095,721,1,19649.55
0x5cb645c16375fa38acdeb77ede89e20900d9104fc8dfe0f7e4daed9675a51ca1,1658794450,2022-07-26 00:14:10,0x89a876ebe2be8d3c8b189cfa9bf1d20d203a7d08,CloneX,16505,721,1,18906.888000000003
0x81e9f95eefed79638d9cdd18f2f27799d8861ac9549cd10217077f9acc584847,1660609011,2022-08-16 00:16:51,0x4498379407268535924750152045708502028559,MutantApeYachtClub,29476,721,1,18863.568
0x519e0317a22cfd2dedefc9db6697dbf2bd68adcf57e49194c2a6441fbed6c3e5,1660608243,2022-08-16 00:04:03,0xedb583e5a92054184f504183271bcac372ea5d8d,Otherdeed,48883,721,1,18667.072500000002
0xae553e04fe01593be151780afb2578f24c1d7e3bb01139f81121f92b3a896a51,1661299619,2022-08-24 00:06:59,0x3363573174809871594982075857487765253873,MutantApeYachtClub,21366,721,1,18339.58
0x9e82d61a4448d2b20eba5b046fc0605c1d40259cfde506b1711cdd31082175a8,1660523761,2022-08-15 00:36:01,0x9522792340716251501458028964260081225999,MutantApeYachtClub,24498,721,1,18326.4803
0xfcf04bf208e2af460e212de5076bfc409f34aad74d698098cca24209653e9e57,1660695368,2022-08-17 00:16:08,0x2230611319789260091398008988239446215526,Otherdeed,97929,721,1,18182.3836
